nom,latitude,longitude,note,prix,furniture_store,laundry,bakery,cafe,home_goods_store,clothing_store,atm,lodging,night_club,convenience_store,restaurant,bar
Unopiu,48.86663159999999,2.3316366,2.2,-1,1,0,0,0,1,0,0,0,0,0,0,0
Olivier Hutzemakers,48.90328890000001,2.339881399999999,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Téodor,48.84763299999999,2.3753779,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Féau and Co.,48.8798415,2.2971538,5.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Patoux Florence Marie-therese,48.8279332,2.3090737,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Au Salon Du Meuble,48.8890514,2.4137347,1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Bricorama,48.8450829,2.3001058,3.6,-1,1,0,0,0,1,0,0,0,0,0,0,0
Fachan Robert,48.8189954,2.3616023,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Cuisines Références,48.8992709,2.2618424,3.8,-1,1,0,0,0,1,0,0,0,0,0,0,0
Krea 99,48.8821368,2.3458452,4.8,-1,1,0,0,0,1,1,0,0,0,0,0,0
Pashev Entreprise,48.908004,2.3051652,5.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Oudia Noureddine,48.85284710000001,2.4262186,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
BedUp® Paris 20,48.867983,2.389954,3.7,-1,1,0,0,0,1,0,0,1,0,0,0,0
A.M.S Agencement Menuiserie Services,48.84958499999999,2.3893007,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Cuisines CORMIER - Cuisines & Agencements haut de gamme,48.84558399999999,2.2979308,2.3,-1,1,0,0,0,1,0,0,0,0,0,0,0
Bricorama,48.899718,2.306318,3.6,-1,1,0,0,0,1,0,0,0,0,0,0,0
Atelier du 15,48.84754979999999,2.4362183,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Les Chi(n)euses,48.8509994,2.3814537,4.9,-1,1,0,0,0,1,0,0,0,0,0,0,0
26 Dream Meubles,48.8190679,2.396562799999999,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Scandilodge,48.8527552,2.3670081,3.6,-1,1,0,0,0,1,0,0,0,0,0,0,0
Eberlin Pierre (Ets),48.880785,2.4156019,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
DAUMAL,48.8600506,2.2750157,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Romano Décoration,48.88811309999999,2.349367299999999,5.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Victoria Créations,48.878936,2.301325,5.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
UBER-MODERN,48.8709753,2.3353917,4.8,-1,1,0,0,0,1,0,0,0,0,0,0,0
Flexa,48.8820854,2.4698289,3.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Somon Franck,48.87527069999999,2.304111799999999,5.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
La Chaise Longue,48.8579326,2.2742123,3.8,-1,1,0,0,0,1,0,0,0,0,0,0,0
Art Saigon,48.8226948,2.3664403,4.2,-1,1,0,0,0,1,0,0,0,0,0,0,0
Open en Ville,48.8661974,2.2816399,5.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Dimex,48.8987191,2.2875468,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Manila Management et Finances,48.8582592,2.3440777,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
LA MARBRERIE CONTEMPORAINE,48.8745531,2.4205067,5.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Bertothi,48.838959,2.381748,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Bouillon Dominique,48.84658030000001,2.2939568,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Galerie Marc PHILIPPE,48.8566039,2.3310984,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Veneta Cucine Paris,48.87385399999999,2.29824,3.6,-1,1,0,0,0,1,0,0,0,0,0,0,0
FABRY Sarl,48.84526899999999,2.294894,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Rouxel SAS,48.8681022,2.3492682,5.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Espace Cuisines Truffy,48.8143793,2.3733026,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Maugendre Renan,48.9104743,2.2394028,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Déco Stores,48.8643207,2.3905845,3.7,-1,1,0,0,0,1,0,0,0,0,0,0,0
Mobalpa Courbevoie,48.8968296,2.2484363,3.1,-1,1,0,0,0,1,0,0,0,0,0,0,0
Matchef,48.8766779,2.4228877,1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
STEEL LOFT by TITIETSEB MOBILIER INDUSTRIEL,48.867537,2.377186,5.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
ouma productions,48.8611292,2.3709343,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Galerie Bazin,48.8575721,2.3289435,5.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
CFB Concept Aménag Décoration Rénov,48.8384584,2.4793303,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Serendipity,48.84670029999999,2.3234409,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Chaouat Charles,48.8933271,2.3374723,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Aux Merveilles d'Asie,48.82541459999999,2.3617571,4.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
